epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,740.317,0.84667,1.08052,0.98626,0.93795,0.90531,0.96621,0.74385,0.89588,0.7987,1.11507,0.000330729,0.000330729,0.0672578
2,1503.17,0.74964,0.64167,0.94889,0.92201,0.98294,0.95162,0.76599,0.68317,0.7929,0.97504,0.000662262,0.000662262,0.034256
3,2240.46,0.73445,0.57565,0.94058,0.98393,0.95843,0.99042,0.78396,0.70979,0.54448,1.00042,0.000986607,0.000986607,0.00124702
4,2951.35,0.74135,0.55432,0.94774,0.9573,0.98385,0.97732,0.80621,0.63859,0.52276,0.95684,0.000975773,0.000975773,0.000975773
5,3679.35,0.69874,0.53262,0.94755,0.97459,0.97449,0.98554,0.81259,0.65144,0.51745,0.95583,0.000957205,0.000957205,0.000957205
6,4459.95,0.70318,0.51292,0.93902,0.98388,0.98659,0.99465,0.81149,0.68218,0.44285,0.94571,0.000933683,0.000933683,0.000933683
7,5230.96,0.67274,0.48064,0.93634,0.97962,0.97921,0.99375,0.81498,0.68887,0.46675,0.98399,0.000905463,0.000905463,0.000905463
8,6015.64,0.68825,0.47995,0.94123,0.97924,0.98028,0.99374,0.80863,0.68677,0.49121,0.97936,0.000872857,0.000872857,0.000872857
9,6803.59,0.66957,0.46012,0.9325,0.99084,0.97691,0.99303,0.82783,0.62457,0.44209,0.9454,0.00083622,0.00083622,0.00083622
10,7533.06,0.66924,0.46889,0.93717,0.99062,0.97599,0.99443,0.84298,0.62358,0.41029,0.94833,0.000795954,0.000795954,0.000795954
11,8416.61,0.64537,0.45643,0.92351,0.99308,0.99538,0.9946,0.83246,0.63866,0.39786,0.94526,0.0007525,0.0007525,0.0007525
12,9606.47,0.63091,0.42716,0.91208,0.98638,0.99076,0.99267,0.81705,0.67129,0.4227,0.9508,0.000706335,0.000706335,0.000706335
13,11100.6,0.64301,0.42613,0.93164,0.993,0.98309,0.99482,0.84947,0.59231,0.38356,0.92374,0.000657963,0.000657963,0.000657963
14,12489.3,0.64281,0.42692,0.92502,0.99539,0.99648,0.995,0.84867,0.57671,0.36286,0.91303,0.000607916,0.000607916,0.000607916
15,13666.8,0.60519,0.39708,0.90919,0.98854,0.9965,0.99486,0.84877,0.57905,0.3735,0.91396,0.000556742,0.000556742,0.000556742
16,14748.1,0.59133,0.39785,0.90675,0.98955,0.99307,0.99488,0.82848,0.60906,0.3899,0.93586,0.000505,0.000505,0.000505
17,15882.7,0.58725,0.3806,0.91119,0.99159,0.99769,0.99493,0.85301,0.56542,0.33702,0.89812,0.000453258,0.000453258,0.000453258
18,16974.1,0.58917,0.38366,0.90243,0.9908,0.99471,0.99481,0.85174,0.57011,0.33633,0.90709,0.000402084,0.000402084,0.000402084
19,18055.1,0.57181,0.36919,0.89808,0.99657,0.99076,0.99498,0.86704,0.53228,0.33208,0.89048,0.000352037,0.000352037,0.000352037
20,19132.6,0.55641,0.35298,0.89451,0.99256,0.99307,0.99493,0.86199,0.55244,0.3226,0.89829,0.000303665,0.000303665,0.000303665
21,20177.1,0.47886,0.30707,0.85579,0.99721,0.99769,0.99498,0.87053,0.53114,0.31192,0.889,0.0002575,0.0002575,0.0002575
22,21307,0.47873,0.29724,0.85141,0.99586,0.99307,0.99498,0.86147,0.54373,0.31166,0.88935,0.000214046,0.000214046,0.000214046
23,22344.5,0.46635,0.28602,0.85629,0.99643,0.99769,0.99498,0.85151,0.55815,0.30086,0.89389,0.00017378,0.00017378,0.00017378
24,23395.4,0.45548,0.28036,0.84591,0.9954,0.99904,0.99498,0.87459,0.51928,0.28761,0.88218,0.000137143,0.000137143,0.000137143
25,24438.6,0.44336,0.26631,0.83786,0.99739,0.99769,0.99498,0.87336,0.53043,0.28454,0.88704,0.000104537,0.000104537,0.000104537
26,25482.1,0.43359,0.2588,0.83514,0.99742,0.99769,0.995,0.85981,0.54538,0.28191,0.88697,7.63174e-05,7.63174e-05,7.63174e-05
27,26585.6,0.42803,0.25657,0.84021,0.9954,1,0.99498,0.87493,0.52768,0.27043,0.8816,5.2795e-05,5.2795e-05,5.2795e-05
28,27627.7,0.42284,0.25417,0.84111,0.99731,0.99769,0.995,0.86932,0.52404,0.2713,0.88131,3.4227e-05,3.4227e-05,3.4227e-05
29,28674.5,0.42923,0.24914,0.83577,0.9977,0.99976,0.995,0.86913,0.51816,0.27057,0.87677,2.08169e-05,2.08169e-05,2.08169e-05
30,29714.2,0.42853,0.24937,0.8365,0.9977,0.99977,0.995,0.87003,0.51548,0.26924,0.8749,1.27117e-05,1.27117e-05,1.27117e-05
